CLIENTE;SOLICITANTE;SERVICIO;AP;ESTADO DE ENVÍO;MOTIVO POD;ULTIMA FECHA DE ACTUALIZACIÓN EN SAP;CENTRO STOCK;DESTINO ;VISITAS;RESPUESTA  SIN DEMORA;RESPUESTA CON DEMORA ;;TEXTOS UX;;TEXTOS UX + HC;TEXTOS UX + HC
 Mercado Libre;102003501;ECOMMERCE;40036830;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;X;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
Brandlive (2 visitas);102003095;PAQUETERIA;"40035948 - 40036207 - 40036333 - 40036448 - 40036465 - 40036807 - 40036833 - 40036836 - 40036865 - 40036889 - 40037059 - 40037082 - 40037085 - 40037087 - 40037555 - 40037556 - 40037558 - 40037559 - 40037687 - 40037694 - 40037696 - 40037759 - 40038147 - 40038848 - 40039165 - 40039179 - 40039387 - 40039484 - 40040021 - 40041082 
";PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
Brandlive (3 visitas);102003095;PAQUETERIA;"40034583 - 40034609 - 40034671 - 40034673 - 40035196 - 40035626 - 40035776 - 40041646 
";PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
 Topper (3 visitas);102002941;PAQUETERIA;40031939;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
Topper (MAM);102002941;PAQUETERIA;40037391;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
Brandlive (MAM);102003095;PAQUETERIA;40036601;PENDIENTE DE DISTRIBUCION;;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
 Officenet - ALOT;102001306;PAQUETERIA;40037368 - ;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
GAX - Prune;102002806;PAQUETERIA;40037303;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
SPP;102001254;PAQUETERIA;40021148 - 40040001 - 40041506;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
 El auditor;102004520;PAQUETERIA;40041620;PENDIENTE DE DISTRIBUCION;N/A;- 72 HS HABILES / + 72 HS HABILES;PRE ULTIMA MILLA;N/A;0;Hola! Tu paquete se encuentra viajando hacia la sucursal encargada de realizar la entrega en tu domicilio.;DERIVAR A ASESOR;;Tu pedido está viajando hacia la sucursal encargada de entregar en tu domicilio 🚐;;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo. 🚐;Tu pedido está en camino a la sucursal OCASA, muy pronto  podrás recibirlo.
